глава,тип,общий вопрос/тема,ответ/объяснение
2/2,Определение и Характеристика по Шариату,Что такое простой вексель и какова его шариатская характеристика?,Документпо которому эмитент (должник) обязуется уплатить определенную сумму денег по предъявлении или в определенную дату другому лицу (бенефициару/кредитору). По Шариату считается долговым обязательством (certificate of debt).
2/3,Определение и Характеристика по Шариату,Что такое чек и какова его шариатская характеристика?,Документсодержащий приказ от одного лица (чекодателя) другому (плательщику) уплатить определенную сумму денег третьему лицу (бенефициару) по предъявлении. По Шариатуэто ограниченная Хавала (перевод долга)если чекодатель является должником плательщикав противном случае — неограниченная Хавала.
3/1,Постановление Шариата,Разрешены ли операции с коммерческими бумагами?,Даразрешено совершать операции с тремя видами коммерческих бумаг (вексельпростой вексельчек) при условиичто это не противоречит Шариату (напримерне содержит Риба или запрещенной задержки).
3/2,Постановление Шариата,Можно ли использовать вексель или простой вексель в сделках Сарф или Салам?,Не разрешается использовать переводной или простой вексель в сделкахтребующих вступления во владение (встречными стоимостями)таких как сделка Сарф (обмен валют) или как капитал (Рас аль-Мал) в договоре Салам.
3/3 (a),Постановление Шариата,Разрешено ли использовать чек при наличии средств на счете?,Даразрешено использовать чеквыписанный клиентом на банк или банком на другой банк (или на себя/свой филиал)при наличии у владельца счета достаточного баланса.
3/3 (b),Постановление Шариата,Разрешено ли использовать чек без покрытия (овердрафт)?,Даразрешено. С точки зрения Шариатаэто считается займом (Кард) и является допустимымесли не содержит Риба (процентов).
3/3 (c),Постановление Шариата,Разрешено ли использовать кроссированный чек?,Даразрешено. Такой чек обязывает банк-получатель выполнить указанные на нем условия.
3/3 (d),Постановление Шариата,Разрешено ли использовать расчетный чек (account payee cheque)?,Даразрешено. Такой чек обязывает банк-получатель выполнить условия путем зачисления суммы на счет бенефициара.
3/3 (e),Постановление Шариата,Разрешено ли использовать дорожные чеки?,Даразрешено. Учреждениевыпускающее ихможет взимать комиссию за посредничество при их выпуске или оплатепри условиичто это не включает Риба.
4,Постановление Шариата,Каково постановление об индоссаменте?,Все формы индоссамента являются обязательными в отношении их юридических последствийпри условиичто они соответствуют установленным для них юридическим условиям и правилам.
5,Юридическое обоснование,Как рассматривается инкассация коммерческих бумаг?,Инкассация рассматривается как агентский договор (вакала)где клиент назначает учреждение своим агентом. Учреждение имеет право на комиссиюсогласованную с клиентом.
6/1,Постановление Шариата,Разрешен ли дисконт (учет) коммерческих бумаг?,"Нет, дисконтировать коммерческие бумаги не разрешается. Однако разрешается выплатить сумму, меньшую номинала бумаги, первому бенефициару до наступления срока погашения."
6/2,Постановление Шариата,Разрешена ли продажа коммерческой бумаги до срока погашения?,"Не разрешается продавать коммерческую бумагу, срок погашения которой не наступил, за сумму, равную ее номиналу (Риба ан-Насиа), или за сумму, превышающую ее номинал (Риба ан-Насиа плюс Риба аль-Фадль)."
6/3,Постановление Шариата,Можно ли использовать коммерческую бумагу для покупки товаров?,Бенефициару разрешается использовать коммерческую бумагу с ненаступившим сроком погашения в качестве цены за определенные товары или узуфруктпри условии фактической или юридической передачи товаров/узуфрукта.
6/4,Юридическое обоснование,Как держатель коммерческой бумаги может использовать ее для покупки товаров с отсроченной поставкой?,Держатель может купить товары с поставкой в будущем (на дату погашения бумаги). После установления долга держатель передает свое требование к должнику своему кредитору через эту бумагу. Эта операция равносильна Хавала (переводу долга).
7/1,Юридическое обоснование,Является ли получение банковского или сертифицированного чека вступлением во владение суммой?,Даполучение банковскогосертифицированного или юридически приравненного к нему чека с немедленной оплатой представляет собой конструктивное вступление во владение указанной на нем суммой. Его можно использовать в сделкахтребующих владения (обмен валютпокупка золотакапитал Салам).
7/2,Юридическое обоснование,Является ли получение обычного (несертифицированного) чека вступлением во владение суммой?,Нетполучение обычного чека не может считаться конструктивным вступлением во владение его суммойи его нельзя использовать в сделкахгде вступление во владение является обязательным условием.
7/3,Постановление Шариата,Разрешено ли использовать чеки для банковских переводов?,Да. Если валюта перевода и платежа совпадаетэто разрешено. Если валюты разныесначала необходимо произвести конвертацию (Сарф)а затем перевод (Хавала)при этом конструктивного вступления во владение достаточно.
8/1,Юридическое обоснование,Что означает акцепт платежа по коммерческой бумаге со стороны плательщика?,Акцепт платежа со стороны плательщика (трассата) считается обязательством уплатить долгпредставленный коммерческой бумагойдержателю в день погашения. Это обязательство должно быть исполнено в соответствии с Шариатом.
8/2,Юридическое обоснование,Кто несет ответственность за оплату по коммерческой бумаге?,Все сторонычьи подписи стоят на коммерческой бумаге (чекодательиндоссантгарант)несут солидарную ответственность перед держателем за ее оплату.
8/3,Юридическое обоснование,Как рассматривается материальное обеспечение по коммерческой бумаге?,Материальное обеспечениепредоставленное держателю для гарантии его правсчитается залогом (Рахн) и регулируется правилами залога.
Приложение (B),Основа Шариата / Аргументация,Каково шариатское основание для дозволенности операций с переводными векселями?,Они аналогичны договорам Хавала (перевод долга) или Кард (заем)которые разрешены по Иджма (консенсусу)или Суфтаджа (долговая расписка)что также допустимо согласно преобладающему мнению.
Приложение (B),Основа Шариата / Исторический прецедент,Есть ли примеры использования аналогов коммерческих бумаг сподвижниками Пророка?,Дасообщаетсячто Абдуллах ибн Аббас и Абдуллах ибн аз-Зубайр использовали Суфтаджа (долговые расписки) для безопасного перевода средств между МеккойКуфой и Ираком.
Приложение (B),Основа Шариата / Коран,Каково шариатское основание для дозволенности простого векселя?,Он считается документомподтверждающим долга Всевышний Аллах повелел фиксировать долги в письменной форме (Корансура Аль-Бакарааят 282).
Приложение (B),Основа Шариата / Аргументация,Каково шариатское основание для чека с покрытием?,Это по своей природе Хавала (перевод долга)где владелец счета - переводильщик (Мухиль)бенефициар - получатель (Мухаль)а банк-плательщик - плательщик (Мухаль аляйх).
Приложение (B),Основа Шариата / Аргументация,Каково шариатское основание для чека без покрытия?,Это Хавала. Допустимость основана на мнениичто для Хавала не обязательночтобы плательщик был должен переводильщику. Некоторые юристы называют это абсолютной Хавала. Однако это обусловлено отсутствием Риба.
Приложение (B),Основа Шариата / Хадис,Каково шариатское основание для кроссированных и расчетных чеков?,"Основанием является общность хадиса: ""Мусульмане соблюдают условия которые они оговорили"". Такие условия служат интересам договора."
Приложение (B),Основа Шариата / Аргументация,Каково шариатское основание для индоссамента?,Дозволенность индоссамента основывается на томчто по своему значению он не выходит за рамки либо Хавала (перевод долга)либо Вакала (агентский договор)и оба эти института разрешены.
Приложение (B),Основа Шариата / Аргументация,Почему запрещен дисконт (учет) коммерческих бумаг?,В действительности дисконтирование представляет собой заем под проценты (Риба)что запрещено по единодушному согласию. Процент варьируется в зависимости от номинала и срока погашения бумаги.
Приложение (B),Основа Шариата / Хадис,Почему разрешено платить меньшую сумму досрочно первому бенефициару (Да ва Та'аджал)?,Основанием является хадис от Ибн Аббасав котором Пророк (мир ему) разрешил племени Бану ан-Надир уменьшить суммы долгов для их ускоренной выплаты. Это противоположно Рибатак как приносит пользу обеим сторонам без вреда.
Приложение (B),Основа Шариата / Аргументация,Почему сертифицированный чек считается вступлением во владение?,Потому что он обеспечен множеством гарантийкоторые делают владельца собственником его содержимого. Государственная защита и подтверждение наличия средств банком придают ему надежностьсопоставимую с наличными деньгами.
Приложение (B),Основа Шариата / Коран и Хадис,Каково шариатское основание для гарантий платежа по коммерческим бумагам?,"Основанием является общность повеления Аллаха ""О те которые уверовали! Будьте верны обязательствам"" (Коран 5:1) хадиса ""Мусульмане соблюдают свои условия""а также прецеденткогда Абу Катада аль-Ансари поручился за долг умершегои Пророк (мир ему) это одобрил."
Приложение (C),Определение,Что такое коммерческие бумаги?,Обращающиеся сертификатыпредставляющие денежные праваподлежащие оплате по предъявлении или через короткий срок. Обычная практика рассматривает их как платежные инструменты и замену наличных денег.
Приложение (C),Определение,Что такое сертифицированный чек?,"Чек, на котором банк-плательщик делает отметку ""сертифицирован"" или ""акцептован"", подтверждая подлинность подписи плательщика и наличие достаточных средств на счете для оплаты."
Приложение (C),Определение,Что такое банковский чек (банковский тратта)?,Чеквыписанный банком-плательщиком (своему клиенту)гарантирующий выплату стоимости чека третьей стороне.
Приложение (C),Определение,Что такое расчетный чек (account payee cheque)?,Обычный чекна котором эмитент указываетчто его стоимость не должна выплачиваться наличнымиа должна быть зачислена на счет получателя.
Приложение (C),Определение,Что такое кроссированный чек?,Чекна лицевой стороне которого нанесены две параллельные линии. Кроссирование налагает на банк-плательщик обязательство не выплачивать сумму чека никомукроме клиента этого банка или другого банка.
Приложение (C),Определение,Что такое дорожный чек?,Чеки разного номиналавыписанные учреждениями на свои иностранные филиалы или банки-корреспонденты в интересах путешественникакоторый может получить их стоимость по простому предъявлению.
Приложение (C),Определение,Что такое индоссамент?,Юридический актпосредством которого право собственности на коммерческую бумагу передается от одного лица (индоссанта) другому (индоссату)или который создает агентство для инкассации или залога.
Приложение (C),Определение,Что такое дисконт (учет) коммерческих бумаг?,Процесспосредством которого держатель коммерческой бумаги через индоссамент передает право собственности на нее третьей стороне до наступления срока погашенияпри этом учреждение дисконтирует (уменьшает) стоимость на определенную сумму в обмен на досрочный платеж.
Приложение (C),Определение,Что такое акцепт платежа?,Обязательство трассата (плательщика) уплатить стоимость переводного векселя законному держателю на дату его погашения.
Приложение (C),Определение,Что такое материальное обеспечение?,Обеспечениеустановленное держателем коммерческой бумагипутем создания ипотеки на недвижимостьзалога движимого имущества или передачи других коммерческих бумаг в залог.
Предисловие,Цель стандарта,Какова цель Шариатского стандарта №17 об инвестиционных Сукук?,Разъяснить шариатские правила выпуска и торговли инвестиционными Сукука также их типыхарактеристикишариатские положения и условия выпуска и обращения для исламских финансовых институтов.
SS(17) - 1,Область применения стандарта,Что охватывает Шариатский стандарт №17?,Стандарт охватывает инвестиционные Сукуквключая Сукук на право собственности на арендованные активыузуфруктыуслугиМурабахаСалямИстиснаМударабаМушаракаинвестиционное агентство и сельскохозяйственные партнерства (МузарааМусакат
SS(17) - 1,Ограничение области применения,Что не охватывает Шариатский стандарт №17?,Стандарт не распространяется на акции акционерных обществсертификаты фондов и инвестиционных портфелей.
SS(17) - 2,Определение,Что такое инвестиционные Сукук?,Это сертификаты равной стоимостипредставляющие собой неделимые доли в праве собственности на материальные активыузуфрукты и услугиили на активы конкретных проектов или специальной инвестиционной деятельностипосле получения их стоимостизакрытия подписки и использования средств по назначению.
SS(17) - 2,Пояснение термина,"Почему Сукук в этом стандарте названы ""инвестиционными Сукук""?",Чтобы отличать их от акций и облигаций.
SS(17) - 3/1,Тип Сукук / Определение,Что такое сертификаты на право собственности на арендованные активы?,Сертификаты равной стоимостивыпускаемые владельцем актива (или через посредника) с целью продажи актива и получения его стоимости через подпискув результате чего держатели сертификатов становятся собственниками активов.
SS(17) - 3/2/1/1,Тип Сукук / Определение,"Что такое сертификаты на право собственности на узуфрукт существующих активов, выпущенные собственником?",Сертификатывыпускаемые собственником актива для сдачи его в аренду и получения арендной платы из подписных средствв результате чего право пользования (узуфрукт) переходит к держателям сертификатов.
SS(17) - 3/2/1/2,Тип Сукук / Определение,"Что такое сертификаты на право собственности на узуфрукт существующих активов, выпущенные арендатором?",Сертификатывыпускаемые арендатором (владельцем узуфрукта) для субаренды и получения арендной платы из подписных средствв результате чего держатели сертификатов становятся собственниками узуфрукта этого актива.
SS(17) - 3/2/2,Тип Сукук / Определение,Что такое сертификаты на право собственности на узуфрукт будущих активов?,Сертификатывыпускаемые для сдачи в аренду будущих материальных активов и сбора арендной платы из подписных средствв результате чего право пользования (узуфрукт) будущим активом переходит к держателям сертификатов.
SS(17) - 3/2/3,Тип Сукук / Определение,Что такое сертификаты на право собственности на услуги определенной стороны?,Сертификатывыпускаемые для предоставления услуг через определенного поставщика (напримеробразовательные услуги в указанном университете)в результате чего держатели сертификатов становятся собственниками этих услуг.
SS(17) - 3/2/4,Тип Сукук / Определение,Что такое сертификаты на право собственности на описанные будущие услуги?,Сертификатывыпускаемые для предоставления будущих услуг через описанногоно не названного поставщика (напримеробразовательные услуги в университете без указания конкретного)в результате чего держатели сертификатов становятся собственниками этих услуг.
SS(17) - 3/3,Тип Сукук / Определение,Что такое сертификаты Салям (Сукук ас-Салям)?,Сертификаты равной стоимостивыпускаемые для мобилизации капитала Салямв результате чего товарыподлежащие поставке по договору Салямпереходят в собственность держателей сертификатов.
SS(17) - 3/4,Тип Сукук / Определение,Что такое сертификаты Истисна (Сукук аль-Истисна)?,Сертификаты равной стоимостивыпускаемые с целью мобилизации средств для производства товаровв результате чего произведенные товары переходят в собственность держателей сертификатов.
SS(17) - 3/5,Тип Сукук / Определение,Что такое сертификаты Мурабаха (Сукук аль-Мурабаха)?,Сертификаты равной стоимостивыпускаемые для финансирования покупки товаров через Мурабахав результате чего держатели сертификатов становятся собственниками товара Мурабаха.
SS(17) - 3/6,Тип Сукук / Определение,Что такое сертификаты Мушарака (Сукук аль-Мушарака)?,Сертификаты равной стоимости для использования мобилизованных средств для создания нового проектаразвития существующего или финансирования деятельности на основе партнерствав результате чего держатели становятся совладельцами проекта/активов в соответствии со своими долями.
SS(17) - 3/7,Тип Сукук / Определение,Что такое сертификаты долевого земледелия (Сукук Музараа)?,Сертификаты равной стоимости для финансирования проекта на основе Музараадающие держателям право на долю в урожае в соответствии с условиями соглашения.
SS(17) - 3/8,Тип Сукук / Определение,Что такое ирригационные сертификаты (Сукук Мусакат)?,Сертификаты равной стоимости для финансирования ирригации плодоносящих деревьев на основе договора Мусакатдающие держателям право на долю в урожае.
SS(17) - 3/9,Тип Сукук / Определение,Что такое сельскохозяйственные сертификаты (Сукук Мугараса)?,Сертификаты равной стоимости на основе договора Мугараса для финансирования посадки деревьевдающие держателям право на долю в земле и насаждениях.
SS(17) - 4/1,Характеристика,Какова форма выпуска инвестиционных Сукук?,Выпускаются как именные сертификаты или на предъявителя равной стоимости для установления прав и обязательств владельца.
SS(17) - 4/2,Характеристика,Что представляют собой инвестиционные Сукук?,Они представляют собой общую долю в праве собственности на активыдоступные для инвестирования (неденежные активыузуфруктыуслуги или их смесьа также нематериальные правадолги и денежные активы).
SS(17) - 4/2,Характеристика,Являются ли инвестиционные Сукук долгом?,Нетони не представляют собой долг эмитента перед держателем сертификата.
SS(17) - 4/3,Характеристика / Основа Шариата,На какой основе выпускаются инвестиционные Сукук?,На основе шариатского договора в соответствии с правилами Шариатарегулирующими их выпуск и торговлю.
SS(17) - 4/5,Характеристика,Как распределяются доходы и убытки по инвестиционным Сукук?,Владельцы сертификатов разделяют доходкак указано в проспекте подпискии несут убытки пропорционально принадлежащим им сертификатам.
SS(17) - 5/1/1,Постановление Шариата,Разрешен ли выпуск инвестиционных сертификатов по подписке?,Даразрешено выпускать инвестиционные сертификаты путем подписки на основе любого из шариатских инвестиционных договоров.
SS(17) - 5/1/2,Постановление Шариата,Разрешено ли секьюритизировать активы путем выпуска сертификатов?,Разрешено выпускать сертификаты для секьюритизации материальных активовузуфруктов и услугразделяя их на равные доли.
SS(17) - 5/1/2,Постановление Шариата,Разрешено ли секьюритизировать долги для торговли?,Нетне разрешается секьюритизировать долгиявляющиеся обязательствомс целью их торговли.
SS(17) - 5/1/5/1,Роли сторон,Каковы роли сторон в Сукук на право собственности на арендованные активы?,"Эмитент - продавец актива, подписчики - покупатели, мобилизованные средства - покупная цена. Держатели совместно владеют активом."
SS(17) - 5/1/5/2(a),Роли сторон,Каковы роли сторон в Сукук на узуфрукт существующих активов?,"Эмитент - продавец узуфрукта, подписчики - покупатели узуфрукта, мобилизованные средства - покупная цена. Держатели становятся совладельцами узуфрукта."
SS(17) - 5/1/5/3,Роли сторон,Каковы роли сторон в Сукук ас-Салям?,"Эмитент - продавец товаров Салям, подписчики - покупатели, мобилизованные средства - капитал Салям (покупная цена). Держатели владеют товарами Салям."
SS(17) - 5/1/5/4,Роли сторон,Каковы роли сторон в Сукук аль-Истисна?,"Эмитент - производитель/поставщик, подписчики - покупатели продукта, мобилизованные средства - стоимость продукта. Держатели владеют продуктом."
SS(17) - 5/1/5/5,Роли сторон,Каковы роли сторон в Сукук аль-Мурабаха?,"Эмитент - продавец товара Мурабаха, подписчики - покупатели, мобилизованные средства - стоимость покупки товара. Держатели владеют товаром Мурабаха."
SS(17) - 5/1/5/6,Роли сторон,Каковы роли сторон в Сукук аль-Мушарака?,"Эмитент - приглашающий к партнерству, подписчики - партнеры по договору Мушарака, мобилизованные средства - вклад в капитал Мушарака. Держатели владеют активами партнерства."
SS(17) - 5/1/5/7,Роли сторон,Каковы роли сторон в Сукук аль-Мудараба?,"Эмитент - Мудариб (управляющий), подписчики - владельцы капитала, мобилизованные средства - капитал Мудараба. Держатели владеют активами Мудараба."
SS(17) - 5/1/5/8,Роли сторон,Каковы роли сторон в Сукук Вакаля (инвестиционного агентства)?,"Эмитент - инвестиционный агент, подписчики - принципалы, мобилизованные средства - вверенный капитал. Держатели владеют активами, представленными сертификатами."
SS(17) - 5/1/7,Юридическое толкование,Чем является проспект эмиссии и подписка с юридической точки зрения?,"Обычно выпуск проспекта является приглашением к подписке, сама подписка является офертой, а одобрение эмитентом - акцептом. Если в проспекте прямо указано, что он является офертой, то подписка становится акцептом."
SS(17) - 5/1/8/2,Условие / Требование к проспекту,Что должно быть указано в проспекте относительно базового договора?,Проспект должен определять тип договорана основе которого выпускаются сертификаты (напримерИджараМурабахаИстиснаСалямМударабаМушарака и т.д.).
SS(17) - 5/1/8/4,Условие / Требование к проспекту,Должен ли проспект упоминать о соблюдении Шариата?,Дапроспект должен прямо указывать на обязательство соблюдать правила и принципы Шариата и на наличие Шариатского наблюдательного совета.
SS(17) - 5/1/8/7,Постановление Шариата,Может ли эмитент Сукук гарантировать возмещение номинальной стоимости?,Нетпроспект не должен содержать заявления о томчто эмитент обязуется компенсировать владельцу номинальную стоимость сертификата в случаяхотличных от правонарушений и халатности. Также он не может гарантировать фиксированный процент прибыли.
SS(17) - 5/1/8/7,Постановление Шариата,Может ли третья сторона гарантировать выпуск Сукук?,Данезависимой третьей стороне разрешается предоставлять гарантию бесплатно.
SS(17) - 5/1/9,Постановление Шариата,Разрешен ли андеррайтинг (гарантия размещения) выпуска Сукук?,Даучреждению разрешается брать на себя обязательство по выкупу неразмещенной части выпуска на основе обязывающего обещания. Андеррайтер не должен получать комиссию за это.
SS(17) - 5/1/11,Постановление Шариата,Разрешены ли методы управления рисками для Сукук?,Даэмитент или держатели сертификатов могут использовать разрешенные методы управления рискамитакие как создание резерва для выравнивания прибыли или исламское страхование (Такафул).
SS(17) - 5/2/1,Постановление Шариата,Когда разрешается торговля инвестиционными Сукук?,Торговля разрешена после закрытия подпискираспределения Сукук и начала деятельности.
SS(17) - 5/2/1,Постановление Шариата,Какие правила применяются при торговле Сукук до начала деятельности или если активы являются долгом?,Необходимо соблюдать правила договора Сарф (обмен валют)а если активы представляют собой дебиторскую задолженностьто применяются правила распоряжения долгами.
SS(17) - 5/2/2,Постановление Шариата,Может ли эмитент обязаться выкупить Сукук по номинальной стоимости?,Нетэмитенту не разрешается брать на себя обязательство выкупать Сукук по их номинальной стоимости.
SS(17) - 5/2/2,Постановление Шариата,Может ли эмитент обязаться выкупить Сукук по рыночной стоимости?,Даэмитент может обязаться через проспект выкупить любой предложенный ему сертификат по рыночной стоимости после завершения процесса выпуска.
SS(17) - 5/2/4,Постановление Шариата,"Разрешена ли торговля Сукук, представляющими собственность на арендованные активы?",Даразрешена торговля такими Сукук сразу после выпуска и до даты погашенияно после перехода права собственности на активы к держателям Сукук.
SS(17) - 5/2/6,Постановление Шариата,Когда торговля Сукук на узуфрукт становится торговлей долгом?,Когда базовые активы сдаются в субарендусертификат начинает представлять собой дебиторскую задолженность по арендной платечто делает его предметом правил и положений о распоряжении долгами.
SS(17) - 5/2/8,Постановление Шариата,Разрешена ли торговля сертификатами на узуфрукт неопределенного актива?,Не разрешается торговать сертификатами на узуфрукт описанногоно еще не определенного актива. Торговля возможна после тогокак актив будет определен.
SS(17) - 5/2/14,Постановление Шариата,Каково постановление о торговле сертификатами Салям?,Не разрешается торговать сертификатами Салям.
SS(17) - 5/2/15,Постановление Шариата,Каково постановление о торговле сертификатами Мурабаха?,Не разрешается торговать сертификатами Мурабаха после доставки товара покупателю. Торговля разрешена после покупки товарано до его продажи конечному покупателю.
SS(17) - 5/2/16,Постановление Шариата,"Каково постановление о торговле сертификатами Мудараба, Мушарака и инвестиционного агентства?",Разрешается торговать этими сертификатами после закрытия подпискираспределения сертификатов и начала деятельности в отношении активов и узуфруктов.
SS(17) - 5/2/17,Постановление Шариата,Каково постановление о торговле сертификатами Музараа и Мусакат?,Торговля разрешенаесли держатели сертификатов владеют землей. Если они выступают в качестве работниковторговля не разрешена до созревания плодов и растений.
SS(17) - 5/2/18,Постановление Шариата,Каково постановление о торговле сертификатами Мугараса?,Разрешается торговать сертификатами Мугараса после закрытия подпискираспределения и начала деятельностинезависимо от тогоявляются ли держатели сертификатов владельцами земли или работниками.
